ID,Nombre del Producto,Categoría,Modelo / Marca,Color,Características,Detalle extendido,Precio Oficial,Precio mínimo
65,Monitor Portátil,Tecnología,Everleo,Negro,Pantalla adicional para laptops o consolas.,Pantalla externa ultraplana que sirve como segundo monitor para laptops o consolas de videojuegos.,1100,1100
66,Oxímetro de Pulso,Salud,LiteXim OX301,Blanco,Medidor de oxígeno en sangre.,Dispositivo médico digital de dedo para medir rápidamente los niveles de oxígeno en la sangre.,150,120
67,Nivel Láser con Cinta Métrica,Herramientas,LevelPro3,Negro,Herramienta de medición multipropósito.,"Herramienta 3 en 1 que combina un nivel de burbuja, un láser alineador y una cinta métrica integrada.",110,90
68,Kit de Soldador Eléctrico 60W,Herramientas / Otras,Genérico,Negro,Temperatura ajustable (200-450°C).,Cautín tipo lápiz con perilla para ajustar la temperatura entre 200°C y 450°C.,120,100
69,Barra de Sonido para PC,Audio,SOULION R30,Negro / Gris,Altavoz de escritorio compacto con iluminación LED RGB y perilla lateral iluminada.,Altavoz de escritorio compacto con una perilla lateral iluminada y efectos LED RGB.,180,190
70,Lámpara Estaca Solar LED Bola de Cristal,Hogar / Decoración Exterior,Genérico (Solar Garden Light),Transparente (Bola de cristal craquelado) con estaca Negra,Lámpara decorativa para exteriores y jardines que no requiere cableado. Panel solar integrado en la base que carga la batería durante el día y luz cálida.,Lámpara de exteriores estilo bola de cristal craquelado. Totalmente inalámbrica gracias a su panel solar que carga la batería durante el día.,70,70
71,Plancha Corrugada para Cabello (Crimper),Cuidado Personal / Belleza,Dmriektu,Negro,"Plancha diseñada con placas texturizadas (""Super hard heating plate"") especiales para crear volumen desde la raíz y ondas tipo crimped. Cuenta con calentamiento ultrarrápido, diseño de doble voltaje (100-240V) ideal para viajes, cable giratorio de 360°, ajuste de temperatura y función de apagado automático a los 60 minutos por seguridad. Además, incluye un guante térmico protector.","Plancha de doble voltaje (100-240V) con placas texturizadas especiales para dar volumen desde la raíz. Tiene cable giratorio 360°, ajuste de temperatura y auto-apagado a los 60 minutos.",180,130
72,Plancha de Cabello Profesional,Cuidado Personal / Belleza,T-Buy / Modelo QY-1088A,Plateado,"Plancha alisadora profesional (Professional Flat Iron) con calentamiento rápido, temperatura de hasta 230°C/450°F, cable giratorio de 360 grados y doble voltaje (100-240V).","Alisadora de calentamiento rápido capaz de llegar a 230°C/450°F, con diseño de doble voltaje y cable giratorio.",180,130
73,Rizador de Cabello de Tubo Largo,Cuidado Personal / Belleza,TYMO,Blanco,"Rizador con tubo extra largo (7.2 pulgadas), doble recubrimiento cerámico y bandas de silicona para crear rizos definidos y duraderos.","Rizadora especializada con un tubo extra largo (7.2 pulgadas), doble recubrimiento de cerámica y bandas de silicona para mejor agarre del cabello.",280,280
74,Combo Teclado y Mouse Inalámbrico,Tecnología / Computación,Leadsail,Verde Menta,"Combo de teclado completo con pad numérico y mouse inalámbrico silencioso. Diseño ultra delgado y estético. Conexión 2.4GHz con un solo receptor USB, teclas de tijera de bajo perfil y modo de suspensión automática.",Combo ultra delgado de conexión 2.4GHz mediante un solo receptor USB. El teclado tiene pad numérico y teclas de tijera; el mouse es silencioso y ambos cuentan con modo de suspensión.,220,190
75,Lámpara de Neón LED (Letra F),Decoración / Regalos,Genérico,Multicolor,Lámpara decorativa en forma de letra F con luces LED RGB multicolores. Se conecta mediante cargador de pared.,"Luz decorativa en forma de F con iluminación LED RGB multicolor, funcional al conectarse a un cargador de pared estándar.",50,70
76,Oxímetro de Pulso Digital de Dedo,Salud / Cuidado Personal,JUMPER / JPD-500G,Negro,"Medidor digital de saturación de oxígeno (%SpO2), frecuencia cardíaca (bpmPR) e índice de perfusión (PI%). Pantalla LED nítida, incluye estuche y cordón de transporte.","Medidor avanzado de saturación de oxígeno, frecuencia cardíaca e índice de perfusión. Posee pantalla LED de alta nitidez e incluye estuche.

* Oxímetro de Pulso Certificado por La CE.

* Conexión a Bluetooth.

* La Aplicación puede ser descargada desde dispositivos Android y IPhone.

* Recomendado para Adultos.

* Encendido: Botón ubicado en la Zona delantera del producto.

* Apagado: Automático, Luego de 6 Segundos sin uso.

* Mide parámetros de Saturación (%Sp02), Frecuencia Cardíaca (bpmPR) e Índice de Perfusión (PI%).

* Barra de Pulso.

* Rango de medición de La Saturación: 35% - 99%.

* Rango de medición de La Frecuencia Cardíaca: 35 bpm - 250 bpm.

* Rango de medición del Índice de Perfusión: 0% - 20%.

* Pantalla tipo LED de 1 Color.

* Utiliza 2 Pilas AAA.

* Dimensiones: 58 mm * 32 mm * 32,9 mm.

* Peso: 50,4 Gramos.

* Temperatura de Funcionamiento: 5°C - 40°C.
",150,100
77,Tira de Luces LED con Sensor,Hogar / Iluminación,Genérico,Blanco (Luz Cálida/RGB),"Cinta LED con sensor de movimiento infrarrojo humano, conexión USB y temporizador de 4 niveles. Ideal para bordes de cama o escaleras.",Cinta luminosa con sensor infrarrojo de movimiento humano. Se alimenta vía USB y cuenta con temporizador de apagado de 4 niveles.,90,90
78,bolígrafo de impresión 3D SCRIB3D P1,Tecnología / Arte y Diseño,SCRIB3D P1,Azul / Celeste,"Bolígrafo de impresión 3D para crear figuras y objetos tridimensionales a mano alzada. Cuenta con pantalla de temperatura, control deslizante de velocidad regulable y boquilla antiatasco compatible con filamentos PLA y ABS.","Bolígrafo para modelado 3D a mano alzada. Incluye boquilla antiatasco, pantalla de temperatura, control de velocidad de flujo y soporta filamentos PLA y ABS.",185,160
79,Parlante Bluetooth con Luz Nocturna y Carga Inalámbrica 15W,Tecnología / Audio,Genérico / 966-M6064Q,Blanco,"Dispositivo 3 en 1 que integra altavoz Bluetooth de alta fidelidad, lámpara LED táctil con iluminación ambiental multicolor y soporte con cargador inalámbrico rápido de hasta 15W.","Altavoz inalámbrico multifuncional con base de apoyo para smartphone. Posee luz nocturna LED táctil regulable, audio de alta fidelidad y estación de carga rápida Qi de 15W (requiere cargador de pared QC 2.0 o superior mayor a 18W para la carga rápida).",210,160
80,Lupa de Mano con Luz LED,Herramientas / Hogar,AIXPI / HD LED,Blanco/Negro,"Lupa de 107mm de diámetro con iluminación LED HD, ideal para lectura detallada, manualidades o niños.","Lupa de gran tamaño (107mm) que integra iluminación LED HD, perfecta para trabajos manuales y lectura fina.",100,70
81,Radios Walkie Talkie (Par),Comunicación / Tecnología,Hunicom H-628,Naranja/Negro,"Radios portátiles de 2 vías con monitoreo de canal dual, función VOX, CTCSS/DCS y potencia ajustable.","Par de radios bidireccionales portátiles equipados con monitoreo de doble canal, función manos libres (VOX), códigos de privacidad (CTCSS/DCS) y ajuste de potencia.",220,190
,,,,,,,,9145
