ID,Nombre del Producto,Precio Publicación (Bs.),Precio Mínimo (Bs.),Categoría,Modelo,Color,Características,Fuente de Energía,Instrucciones de Uso,Cuidados y Advertencias,Datos Curiosos
12,Parlante Bluetooth Compacto - X1 Music Engine 3202,50,35,Audio,MOIC Wireless X,Rosado / Gris,Parlante portátil de diseño juvenil con agarrador integrado y rejilla protectora.,Batería recargable USB,1. Encender parlante. 2. Conectar mediante Bluetooth o cable AUX/USB. 3. Ajustar volumen.,Evitar caídas e impactos fuertes en el cono del parlante.,Incorpora radio FM integrada mediante la conexión del cable de carga como antena.
13,Muñeco de Nieve LED Solar,50,35,Decoración / Regalos,Adorno Navideño,Blanco / Rosa,Figura decorativa de jardín estilo cristal con sombrero rosa/rojo.,Panel Solar en estaca,1. Ensamble de estaca. 2. Activar botón ON. 3. Clavar en maceta o césped.,Guardar bajo techo en tormentas extremas.,El cuerpo cristalino difumina la luz creando un brillo omnidireccional.
14,Audífonos On-Ear Q50,110,80,Audio,Q50 (Microlab),Rojo,Diadema acolchada roja con micrófono integrado para llamadas y música.,Batería recargable USB / AUX,1. Encender botón power. 2. Buscar en Bluetooth o conectar cable AUX. 3. Ajustar volumen.,Guardar en estuche para evitar rozaduras en el acabado brillante.,Su estructura es plegable hacia adentro para ocupar la mitad del espacio.
15,Audífonos Inalámbricos Deportivos,60,45,Audio,i10 Neckband Earbuds,Negro / Gris metálico,Audífonos de cuello flexibles IPX5 anticaída con cabezales magnéticos.,Batería recargable USB,1. Colocar la banda sobre la nuca. 2. Insertar gomas en los oídos. 3. Encender y conectar.,No tirar con fuerza de los cables delgados de las gomas.,Los earbuds se unen entre sí por imán para que no bamboleen cuando no los usas.
16,Smartwatch Phone Cuadrado,100,75,Tecnología,Smart Watch Phone,Negro,"Reloj inteligente con ranura SIM (hace llamadas), cámara, monitor de pasos y Bluetooth.",Batería interna recargable,1. Insertar chip SIM / MicroSD. 2. Encender e instalar app. 3. Vincular vía Bluetooth.,Cargar con cable USB; NO es sumergible en agua.,Funciona tanto de forma independiente (con SIM) como de accesorio del celular.
17,Reloj Despertador Digital LED,45,35,Hogar,MoodiCare Clock,Blanco (Luz LED multicolor),"Reloj cubo digital con hora, fecha, temperatura y cambio de color progresivo.",3 pilas AAA (Luces) / 2 LR44 (Pantalla),1. Colocar pilas. 2. Configurar hora con botones SET/UP/DOWN. 3. Presionar arriba para luz.,Evitar caídas fuertes que descalibren la pantalla LCD.,Utiliza cromoterapia básica (cambio de luz suave) para ayudar a conciliar el sueño.
18,Parlante Bluetooth para Ducha,50,35,Audio,Waterproof Shower Speaker,Blanco / Azul,Parlante Bluetooth con ventosa de sujeción resistente a salpicaduras y vapor.,Batería recargable Micro-USB,1. Cargar puerto. 2. Pegar ventosa en azulejo/vidrio. 3. Vincular celular por Bluetooth.,"Resistente a salpicaduras, pero NO sumergible bajo el agua.",Incluye botones integrados para contestar llamadas en manos libres.
19,Lámpara LED 3D Ilusión Óptica,75,50,Decoración / Regalos,3D Illusion Lamp,Negro (Base) / Acrílico,Lámpara de noche con placa acrílica que genera efecto visual 3D al encenderse.,Cable USB 5V o 3 pilas AA,1. Retirar film protector del acrílico. 2. Insertar placa en la base. 3. Encender por botón táctil.,Quitar el film protector antes de usar; no tocar el acrílico para no dejar huellas.,"La placa es completamente plana (2D), pero el grabado engaña al cerebro simulando 3D."
20,Lámpara de Mesa Cristal (Diamante),110,80,Hogar,Diamond Table Lamp,Dorado / Cristal transparente,Lámpara táctil con efecto óptico de destellos de diamante en cristal acrílico.,Batería recargable USB,1. Cargar vía USB. 2. Tocar la parte superior dorada para encender y cambiar tonos.,Limpiar con paño de microfibra seco para evitar rayones en el acrílico.,El grabado geométrico proyecta una rosa o estrella de luz a su alrededor.
21,Guirnalda LED Balones de Fútbol,40,25,Decoración / Regalos,Balones de Fútbol Americano,Marrón / Ámbar,Tira de luces LED decorativas con forma de balones deportistas.,2 o 3 pilas AA,1. Insertar pilas en la cajita. 2. Cambiar interruptor a ON o modo parpadeo.,Uso preferente en interiores (caja de pilas no sumergible).,Los LED consumen tan poco que un par de pilas dura semanas encendido.
22,Mouse Gamer G305 (Genérico),160,120,Tecnología,G305 Lightspeed (Logitech),Blanco,Mouse Gamer Profesional Inalámbrico con sensor HERO de 12.000 DPI y cero latencia.,1 Pila AA (Hasta 250 horas),1. Insertar pila AA. 2. Conectar receptor USB a la PC. 3. Descargar Logitech G HUB (opcional).,Limpiar sensor óptico con aire comprimido o hisopo seco.,El sensor HERO consume 10 veces menos energía que sensores anteriores.
23,Parlante Portátil (Clip 3 Estilo),75,50,Audio,Clip 3 (Estilo JBL),Azul Oscuro,Parlante ultra portátil con mosquetón metálico integrado para colgar en mochilas.,Batería recargable USB,1. Enganchar en mochila/cinturón. 2. Encender y vincular por Bluetooth. 3. Ajustar volumen.,No mojar en exceso si la tapa del puerto de carga está abierta.,El marco de mosquetón rodea todo el perímetro del parlante dándole rigidez.
24,Extractor de Leche Materna,65,45,Hogar,Nobel,Celeste / Transparente,"Extractor ergonómico con palanca, cojín de silicona y biberón de 180 ml libre de BPA.",Manual (Sin baterías),1. Esterilizar componentes. 2. Adherir copa al pecho. 3. Presionar la palanca rítmicamente.,Lavar y esterilizar en agua hirviendo después de cada uso.,El diseño de la copa imita la succión natural del bebé para estimular la leche.
25,Reflector Solar LED IP66,220,180,Iluminación Exterior,Private Street Lamp IP66,Naranja y Negro,Proyector de alta potencia para exteriores IP66 con panel solar independiente.,Panel Solar + Batería LiFePO4,1. Montar reflector y panel en pared. 2. Conectar cable entre panel y reflector. 3. Configurar con control remoto.,No cubrir el panel con ramas ni techos.,Incluye sensor de movimiento y temporizador mediante control remoto.
26,Lienzo / Tapiz Navideño LED,60,45,Decoración / Regalos,Muñeco de Nieve con Iluminación,Multicolor,Cuadro de tela estampado con luces LED integradas en el diseño.,2 pilas AA,1. Colocar pilas en el reverso. 2. Colgar en la pared. 3. Activar el interruptor lateral.,No lavar con agua ni doblar bruscamente para no romper los cables internos.,Los LED están colocados estratégicamente en las luces de los árboles y estrellas.
27,Mouse Inalámbrico Ergonómico,50,35,Tecnología,QC Pass Geometric Mouse,Negro Mate,Mouse inalámbrico compacto con diseño geométrico texturizado antideslizante.,1 o 2 pilas AAA,1. Abrir tapa e insertar pilas. 2. Conectar nanoreceptor USB a la PC. 3. Usar directamente.,Apagar el switch inferior al guardar en la mochila para ahorrar pila.,Guardado interno: el receptor USB se almacena dentro del compartimento de pilas.
28,Lámpara Solar Conmemorativa,75,55,Decoración / Regalos,Cruz con Rosas en Piedra,Gris Piedra / Rosas Rosas,Piedra decorativa solar con cruz y flores para lápidas o jardines conmemorativos.,Panel Solar integrado,1. Presionar botón inferior. 2. Ubicar en exterior soleado.,Limpiar la superficie del panel para evitar acumulación de tierra.,Diseñada en resina sintética que imita piedra real para resistir la intemperie.
29,Cortador de Vellos Nasales,40,30,Cuidado Personal,AE-3802,Gris Oscuro / Negro,Recortador de bolsillo para vellos de nariz y orejas con cuchillas redondas seguras.,1 Pila AA,1. Insertar pila AA. 2. Encender switch. 3. Introducir suavemente en fosas nasales u oídos.,No lavar el cuerpo entero bajo el grifo; desmontar solo el cabezal de corte.,Las cuchillas giran 360° internamente dentro de un escudo para proteger la piel.
30,Mouse Gamer RGB (X9),75,50,Tecnología,X9 Game Mouse,Negro,"Mouse ergonómico con sensor óptico de alta precisión, botones laterales y luces RGB.",Batería recargable USB,1. Conectar receptor USB a la PC. 2. Encender switch inferior. 3. Ajustar DPI con botón superior.,Evitar caídas que desalineen el sensor óptico inferior.,El botón DPI altera la velocidad del puntero al instante sin ir a configuración de la PC.
31,Cortadora de Barba T9 Vintage,90,70,Cuidado Personal,Vintage T9 Professional,Negro (Grabado Dragón),Máquina recortadora de barba y contornos con cuerpo metálico grabado y cuchilla en T.,Batería recargable USB,1. Encender botón inferior. 2. Colocar peine guía si se desea. 3. Recortar al ras.,Aceitar las cuchillas regularmente y limpiar pelusa con el cepillo incluido.,Su cabezal en T permite hacer líneas perfectas en patillas y cuello como de barbería.
32,Mini Parlante M3 Metalizado,50,35,Audio,M3 Pairable Wireless Speaker,Azul Metalizado / Degradé,Mini parlante ultra portátil en cuerpo de aluminio con sonido potente.,Batería recargable USB,"1. Encender botón inferior. 2. Buscar ""M3"" en el Bluetooth del celular. 3. Reproducir.",Cargar con adaptadores estándar de 5V 1A.,Se pueden emparejar dos parlantes M3 al mismo celular para sonido estéreo TWS.
33,Timbre Inteligente con Cámara,150,120,Seguridad / Domótica,X9 Visuable Smart Doorbell,Blanco con frontal negro,"Timbre inalámbrico con cámara, audio bidireccional y notificación al celular.",Batería recargable USB / Chime a corriente,1. Fijar timbre en puerta principal. 2. Enchufar timbre receptor dentro de casa. 3. Sincronizar app.,Proteger de lluvia directa prolongada si la entrada no tiene alero.,Permite distorsionar la voz en tiempo real para mayor seguridad en la llamada.
34,Luz Nocturna LED con Sensor,45,30,Hogar,Intelligent Night Light,Blanco,Luz automática magnética que se enciende al detectar movimiento en la oscuridad.,Batería recargable USB / Magnético,1. Pegar base magnética en la pared. 2. Adherir la lámpara. 3. Cambiar a modo AUTO.,Solo funciona en ambientes oscuros para ahorrar energía.,Apagado automático a los 15-20 segundos de no detectar movimiento.
35,Calentador y Esterilizador (Disney),200,160,Hogar,EL-957A (Disney Baby),Rosado / Blanco,Calentador eléctrico para mamaderas y esterilizador al vapor con perilla de control.,Enchufe directo 220V AC,1. Colocar agua en la base. 2. Poner biberón o chupón. 3. Girar perilla a temperatura deseada.,Nunca encender sin agua en el depósito inferior para no quemar la resistencia.,Mantiene el biberón tibio a 40°C automáticamente durante toda la noche.
36,Radio Reproductor Portátil,180,150,Audio,LT-IPHONE 6 (Leotec),Negro,"Radio multibanda (FM/AM/SW), reproductor USB/SD, Bluetooth y linterna.",220V AC / Batería recargable / Pilas D,1. Seleccionar modo (BT/Radio/USB). 2. Sintonizar perilla analógica. 3. Extender antena telescópica.,Desconectar de la corriente una vez cargado si se usa en modo batería.,"El nombre ""LT-IPHONE 6"" es una marca fantasía vintage comercializada por el fabricante."
37,Antena Digital HDTV,45,30,Tecnología,Hochauflösende TV-Antenne,Negro,Antena de alta ganancia omnidireccional para captar canales de televisión digital abierta.,Conexión coaxial / USB (amplificador),1. Conectar cable a la TV. 2. Pegar base magnética en ventana o metal. 3. Buscar canales.,Colocar lo más cerca posible de ventanas para mejor recepción de señal.,Su base imantada permite fijarla firmemente a protecciones metálicas de ventanas.
38,Audífonos TWS In-Ear (Pro Genérico),50,35,Audio,Pro (Earbuds TWS),Negro Brillante,Earbuds ergonómicos negros con caja compacta de bolsillo.,Estuche de carga USB,1. Sacar los audífonos. 2. Vincular por Bluetooth. 3. Colocar en el oído.,Limpiar gomas de silicona frecuentemente por higiene.,Tienen estuche con ajuste imantado que atrae los earbuds a su posición de carga.
39,Mini Ventilador de Bolsillo,40,30,Hogar,Pocket Fan,Blanco (con orejitas),Ventilador de mano compacto con orejitas animadas y base para escritorio.,Batería recargable USB,1. Cargar por USB. 2. Presionar botón frontal para encender. 3. Ajustar velocidades.,No meter los dedos ni objetos en la rejilla mientras gira.,Incluye base desmontable para colocarlo como ventilador de escritorio.
40,Proyector de Luces LED - Varios,80,60,Decoración / Regalos,LED Projection Light,Negro (Proyección Multicolor),"Proyector de figuras en movimiento (calabazas, fantasmas, murciélagos).",Enchufe directo 110-220V,1. Conectar a la corriente. 2. Apuntar hacia pared o fachada. 3. Ajustar distancia para enfocar.,Evitar mirar fijamente la lente de proyección activa.,Cubre hasta 50 metros cuadrados si se aleja a una distancia de 5 metros.
41,Buclera Enruladora Rizadora,30,20,Cuidado Personal,Varios,Varios,Productos con fallas por transporte o devueltos malogrados.,N/A,N/A,Vender sin garantía declarando fallas.,Recuperar monetario de mercadería dañada.
